date,country,CPI,GDP,IR,UE
1990-07-01,US,0.700000000000017,-0.195677163871991,0,0.3
1990-08-01,US,0.799999999999983,-0.24960748840401,0,0.2
1990-09-01,US,0.5,-0.296029447129996,0,0.2
1990-10-01,US,0.5,-0.320578321873001,0,0
1990-11-01,US,0.400000000000006,-0.317454028137803,0,0.3
1990-12-01,US,0.599999999999994,-0.287389969698793,-0.21,0.0999999999999996
1991-01-01,US,0.900000000000006,-0.237587736673802,-0.29,0.100000000000001
1991-02-01,US,0.699999999999989,-0.174838936544106,-0.5,0.199999999999999
1991-03-01,US,0.300000000000011,-0.109054639538002,0,0.2
1991-04-01,US,0.400000000000006,-0.0577859987162981,-0.0199999999999996,-0.0999999999999996
1991-05-01,US,0.400000000000006,-0.0267508613217018,-0.48,0.2
1991-06-01,US,0.5,-0.0136811227871902,0,0
1991-07-01,US,0.5,-0.0106112139127106,0,-0.100000000000001
1991-08-01,US,0.599999999999994,-0.0100823938357877,0,0.100000000000001
1991-09-01,US,0.5,-0.00542712625021125,-0.3,0
1991-10-01,US,0.299999999999983,0.00911042428370479,-0.2,0.0999999999999996
1991-11-01,US,0.5,0.0349609964347053,-0.42,0
1991-12-01,US,0.5,0.0681025342849893,-0.47,0.3
1992-01-01,US,0.400000000000006,0.0970768818978058,-0.61,0
1992-02-01,US,0.300000000000011,0.116953870449095,0,0.100000000000001
1992-03-01,US,0.5,0.127066714191699,0,0
1992-04-01,US,0.400000000000006,0.129423552006202,0,0
1992-05-01,US,0.5,0.1258935928293,0,0.199999999999999
1992-06-01,US,0.299999999999983,0.11786065126411,0,0.2
1992-07-01,US,0.5,0.106290620165097,-0.48,-0.0999999999999996
1992-08-01,US,0.300000000000011,0.0904613091921931,-0.02,-0.100000000000001
1992-09-01,US,0.199999999999989,0.06860396222541,0,0
1992-10-01,US,0.700000000000017,0.038857480250698,0,-0.3
1992-11-01,US,0.399999999999977,0.00193017028340137,0,0.100000000000001
1992-12-01,US,0.400000000000006,-0.0369572490777017,0,0
1993-01-01,US,0.5,-0.0656560071153081,0,-0.100000000000001
1993-02-01,US,0.5,-0.0795702163709962,0,-0.2
1993-03-01,US,0.200000000000017,-0.079725876672498,0,-0.0999999999999996
1993-04-01,US,0.599999999999994,-0.0718648315918955,0,0.0999999999999996
1993-05-01,US,0.400000000000006,-0.0583957710340002,0,0
1993-06-01,US,0.299999999999983,-0.0391329438306087,0,-0.0999999999999996
1993-07-01,US,0.200000000000017,-0.012432690822493,0,-0.0999999999999996
1993-08-01,US,0.5,0.0212725787148997,0,-0.100000000000001
1993-09-01,US,0.0999999999999943,0.0574008006854996,0,-0.0999999999999996
1993-10-01,US,0.5,0.0846060642994928,0,0.0999999999999996
1993-11-01,US,0.5,0.0992928626924083,0,-0.2
1993-12-01,US,0.400000000000006,0.103423147502795,0,-0.0999999999999996
1994-01-01,US,0.199999999999989,0.103252764632998,0,0.0999999999999996
1994-02-01,US,0.300000000000011,0.101512062675397,0,0
1994-03-01,US,0.5,0.0971971918410048,0,-0.0999999999999996
1994-04-01,US,0.199999999999989,0.0854738563159998,0,-0.0999999999999996
1994-05-01,US,0.400000000000006,0.0655524215849965,0.24,-0.300000000000001
1994-06-01,US,0.5,0.041311172797009,0.26,0
1994-07-01,US,0.299999999999983,0.0224906113529926,0,0
1994-08-01,US,0.400000000000006,0.0113036046629986,0.26,-0.0999999999999996
1994-09-01,US,0.400000000000006,0.003605900780002,0.24,-0.0999999999999996
1994-10-01,US,0.300000000000011,-0.0104550452309979,0,-0.100000000000001
1994-11-01,US,0.399999999999977,-0.0348741066359963,0.4,-0.2
1994-12-01,US,0.100000000000023,-0.0669851077660013,0.35,-0.0999999999999996
1995-01-01,US,0.699999999999989,-0.0959460601320075,0,0.0999999999999996
1995-02-01,US,0.400000000000006,-0.116058616969994,0.5,-0.199999999999999
1995-03-01,US,0.5,-0.124825555506007,0,0
1995-04-01,US,0.5,-0.121616892072595,0,0.399999999999999
1995-05-01,US,0.299999999999983,-0.108222538118099,0,-0.2
1995-06-01,US,0.400000000000006,-0.0891705998920997,0,0
1995-07-01,US,0.300000000000011,-0.0727895583746943,0,0.100000000000001
1995-08-01,US,0.400000000000006,-0.0618673122895075,0,0
1995-09-01,US,0.399999999999977,-0.0550334238307926,0,-0.100000000000001
1995-10-01,US,0.5,-0.0477273634843982,0,-0.0999999999999996
1995-11-01,US,0.300000000000011,-0.0360742399525122,0,0.0999999999999996
1995-12-01,US,0.0999999999999943,-0.0175498398162972,0,0
1996-01-01,US,0.599999999999994,0.00804703876400481,-0.00999999999999979,0
1996-02-01,US,0.300000000000011,0.0385814257533923,-0.24,-0.0999999999999996
1996-03-01,US,0.400000000000006,0.0675836594865018,0,0
1996-04-01,US,0.199999999999989,0.0818633610820996,0,0.0999999999999996
1996-05-01,US,0.400000000000006,0.0772899303930075,0,0
1996-06-01,US,0.400000000000006,0.0575454327705955,0,-0.3
1996-07-01,US,0.299999999999983,0.0342470155018049,0,0.2
1996-08-01,US,0.300000000000011,0.0135549682625964,0,-0.4
1996-09-01,US,0.5,-0.00233531683180388,0,0.100000000000001
1996-10-01,US,0.300000000000011,-0.0138590384253945,0,0
1996-11-01,US,0.399999999999977,-0.0201458281494951,0,0.2
1996-12-01,US,0.200000000000017,-0.0183362998493095,0,0
1997-01-01,US,0.400000000000006,-0.00326690240389382,0,-0.100000000000001
1997-02-01,US,0.299999999999983,0.0247968110795966,0,-0.0999999999999996
1997-03-01,US,0.300000000000011,0.059012088544705,0,0
1997-04-01,US,0.5,0.0838330352878955,0,-0.100000000000001
1997-05-01,US,0.299999999999983,0.0924151806779037,0,-0.199999999999999
1997-06-01,US,0.200000000000017,0.08464624207339,0,0.0999999999999996
1997-07-01,US,0.299999999999983,0.0663946378274005,0,-0.0999999999999996
1997-08-01,US,0.100000000000023,0.0423773333540112,0,-0.100000000000001
1997-09-01,US,0.399999999999977,0.0173510572909947,0,0.100000000000001
1997-10-01,US,0.400000000000006,-0.00228307919699944,0,-0.2
1997-11-01,US,0.200000000000017,-0.0142140649249995,0,-0.100000000000001
1997-12-01,US,0.399999999999977,-0.0188568396140028,0,0.100000000000001
1998-01-01,US,0.400000000000006,-0.0185186213639952,0,-0.100000000000001
1998-02-01,US,0.300000000000011,-0.0141670008364088,0,0
1998-03-01,US,0.299999999999983,-0.00548459913659372,0,0.100000000000001
1998-04-01,US,0.300000000000011,0.00879632368500438,0,-0.4
1998-05-01,US,0.400000000000006,0.02900383875199,0,0.100000000000001
1998-06-01,US,0.299999999999983,0.0535045742540063,0,0.0999999999999996
1998-07-01,US,0.300000000000011,0.0772526925480008,0,0
1998-08-01,US,0.5,0.096629281342004,0,0
1998-09-01,US,0.199999999999989,0.107705575180987,0,0.0999999999999996
1998-10-01,US,0.200000000000017,0.104830224991005,-0.14,-0.0999999999999996
1998-11-01,US,0.400000000000006,0.0873245548039989,-0.23,-0.0999999999999996
1998-12-01,US,0.599999999999994,0.0596891299190077,-0.13,0
1999-01-01,US,0.199999999999989,0.0328495600449941,0,-0.100000000000001
1999-02-01,US,0,0.0133318940840041,0,0.100000000000001
1999-03-01,US,0.0999999999999943,0.00521798484899705,0,-0.2
1999-04-01,US,0.600000000000023,0.0116136321820051,0,0.0999999999999996
1999-05-01,US,0.199999999999989,0.0319824922999885,0,-0.0999999999999996
1999-06-01,US,0.0999999999999943,0.0618094608740023,0,0.0999999999999996
1999-07-01,US,0.5,0.0912389007480101,0,0
1999-08-01,US,0.200000000000017,0.113861627692998,0.0599999999999996,-0.0999999999999996
1999-09-01,US,0.5,0.124636964692996,0.19,0
1999-10-01,US,0.299999999999983,0.118326870608001,0,-0.100000000000001
1999-11-01,US,0.300000000000011,0.0969280198509921,0.11,0
